ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна проведения,Место проведения,Телефон,Факс,Сайт,Электронная почта,Описание,Описание (англ.),Начало проведения,Окончание проведения
12705,"Международная туристская выставка ""FITUR"" 2020","International Travel Exhibition ""FITUR"" 2020",Выставка,Испания,Мадрид,7 34 91 722 30 00,7 34 91 722 51 27,Www.ifema.es/en/fitur,Servifema@ifema.es;lourdes.sierra@ifema.es;lineaifema.expositor@ifema.es,"""FITUR"" является второй по масштабу и представительности туристической выставкой в мире. Последние несколько лет число участников выставки постоянно возрастало. На сегодняшний день свои предложения готовы представить около 10 000 компаний и туристических агентств из 166 стран и регионов мира. Ежегодное число посетителей составляет примерно 200 000 человек, а в качестве информационных спонсоров выставки выступают такие медийные гиганты, как CNN.","FITUR is the global meeting point for tourism professionals and the leading trade fair for inbound and outbound markets in Latin America. At its staging FITUR broke all previous participation records with 10,487 companies from 165 countries and regions 142,642 trade visitors and 110,848 visitors from the general public.",2020-01-22,2020-02-26
14576,ITB Вerlin 2020,ITB Вerlin 2020,Выставка,Германия,Берлин,49 030 3038-5555,None,Www.itb-berlin.de/en/,Itb@messe-berlin.de,Презентация туристских возможностей Санкт-Петербурга на выставке. Викторина.,"ITB Berlin is the foremost business platform for global touristic offers. In addition to very high exhibitor satisfaction (over 90%), the numbers offer more proof: This is where supply meets demand.",2020-03-04,2020-03-08
14583,World Travel Market Latin America 2020,World Travel Market Latin America 2020,Выставка,Бразилия,Сан-Паулу,55 11 30604717,None,Www.latinamerica.wtm.com/,Wtmlat.helpline@reedexpo.co.uk,"Выставка ""WTM Latin America"", ежегодно проводимая в Сан-Паулу, является крупнейшим международным событием туристической отрасли Южной Америки, своего рода обязательный для посещения B2B-марафон, который на три дня собирает профессионалов туротрасли со всего мира.","WTM Latin America is the three day must-attend business-to-business (B2B) event which brings the world to Latin America and promotes Latin America to the world. Through its industry networks, unrivalled global reach, WTM Latin America creates personal and business opportunities, providing customers with quality contacts, content and communities.",2020-03-31,2020-04-02
14628,ITB Asia 2020,ITB Asia 2020,Выставка,Республика Сингапур,Сингапур,65663511880,None,Www.itb-asia.com/,Exhibitor@itb-asia.com,Международная ежегодная туристическая выставка в респ.Сингапур,"ITB Asia is a annually held three day B2B trade show and convention for the travel industry; it is designed to become the primary event for the Asia Pacific travel industry, much like its parent event – ITB Berlin. Now in its twelfth year in Singapore, ITB Asia will be taking place at Marina Bay Sands. It is organised by Messe Berlin (Singapore) Pte Ltd and supported by the Singapore Exhibition & Convention Bureau. Today, ITB Asia is the premier meeting place for the travel trade industry and a forum for establishing high-quality customer contacts and conducting businesses.",2020-10-21,2020-10-23
17748,"Международная туристская выставка ""IMEX Frankfurt"" 2020","Trade fair for events and incentive travel ""IMEX Frankfurt"" 2020",Выставка,Германия,"Франкфурт, Германия",4412732273110,None,Www.imex-frankfurt.com,None,"В IMEX ежегодно принимают участие представители делового туризма из 150 стран. При этом выставку посещают сотни специалистов компаний, которые являются потребителями услуг в сфере делового туризма.","More than 3,400 suppliers from every sector of the worldwide meetings industry come together in Frankfurt each year. You’ll meet national and regional tourist offices and convention bureaus, major hotel companies, conference and exhibition venues, cruise lines, airlines, spa resorts, technology providers, event management specialists and many more.",2020-05-12,2020-05-14
17753,"Международная туристская выставка ""ITB ASIA"" 2020",ITB ASIA 2020,Выставка,Сингапур,Сингапур,65663511880,65663511880,Www.itb-asia.com/index,Exhibitor@itb-asia.com,None,None,2020-10-21,2020-10-23
17754,"Международная туристская выставка ""IBTM World"" 2019",IBTM World 2019,Выставка,Испания,"Барселона ,Испания",442082712127,None,Www.ibtmworld.com/,None,"Крупный туристический форум, тематикой которого традиционно является организация конференций, семинаров и деловых встреч, корпоративного туризма и специальных мероприятий. Ibtm world собирает ежегодно порядка 3000 участников из 100 стран мира и 8000 посетителей, из которых более 4000 – профессионалы.","IBTM World is the leading global event for the meetings and events industry and we have one goal; we want to inspire the events world to deliver exceptional experiences. For 32 years, IBTM World has been providing the global community with the inspiration, business connections and content you need to create world-class events for your customers.",2020-12-01,2020-12-01
18466,"Международная выставка путешествий и конгресс-менеджмента ""IMEX America"" 2020",IMEX America 2020,Выставка,США,"Sands Expo and Convention Center 201 Sands Avenue Las Vegas, Nevada 89169",4412732273110,None,Www.imexamerica.com,None,"Ежегодно в Лас-Вегасе собираются более 3000 поставщиков из каждого сектора мировой индустрии встреч. Вы встретитесь с местными американскими поставщиками, международными туристическими офисами и конференц-бюро, крупными гостиничными компаниями, конференц-и выставочными центрами, круизными линиями, авиакомпаниями, спа-курортами, поставщиками технологий, специалистами по управлению событиями и многими другими.","IMEX America takes place at Sands Expo at The Venetian l The Palazzo, one of the world's largest convention facilities, in one of the world's most extraordinary hotels. The king of conventions, one of North America's top convention destinations, Las Vegas is one-of-a-kind, offering endless entertainment, fabulous hospitality and world-class meeting facilities.",2020-09-15,2020-09-17
18468,Петербургский международный экономический форум - 2020,SPIEF'20,Форум,Россия,"Санкт-Петербург, КВЦ ""Экспофорум"", Петербургское ш., 64 к.1 лит. А",8 812 406 77 09,None,Www.forumspb.com,Media@roscongress.org,"Петербургский международный экономический форум (ПМЭФ) – уникальное событие в мире экономики и бизнеса. ПМЭФ проводится с 1997 года, а с 2006 года проходит под патронатом и при участии Президента Российской Федерации. За прошедшие годы Форум стал ведущей мировой площадкой для общения представителей деловых кругов и обсуждения ключевых экономических вопросов, стоящих перед Россией, развивающимися рынками и миром в целом.","The St.Petersburg International Economic Forum (SPIEF) is a unique event in the world of business and economics. SPIEF has been held since 1997, and since 2006, it has been held under the auspices of the President of the Russian Federation, who has also attended each event. Over the last 21 years, the Forum has become a leading global platform for members of the business community to meet and discuss the key economic issues facing Russia, emerging markets, and the world as a whole.",2020-06-03,2020-06-06
18469,Чемпионат Европы по футболу,UEFA EURO 2020,Спортивное мероприятие,Россия,"Россия (стадион ""Санкт-Петербург"", г. Санкт-Петербург)",None,None,Www.ru.uefa.com,None,Крупнейший турнир Европы по футболу. Матчи пройдут в 12 странах и 12 городах. Санкт-Петербург примет 3 матча группового этапа и один матч 1/4финала. За главный кубок будут бороться 24 национальные сборные.,The largest European football tournament. The matches will be held in 12 countries and 12 cities. St. Petersburg will host 3 matches of the group stage and one match of the 1/4 finals. 24 national teams will compete for the main cup.,2020-06-12,2020-07-12
18470,Международный конгресс и выставка шеф-поваров-2020,Worldchefs 2020,Выставка,Россия,"Санкт-Петербург, КВЦ ""Экспофорум"", Петербургское шоссе, дом 64, корпус 1, лит. А",7 495 981-50-00,None,Www.worldchefs2020.ru,Ruzina@formika.ru;info@worldchefs2020.ru,"Worldchefs Congress & Expo – это глобальное событие для шеф-поваров, рестораторов, отельеров, сомелье, дегустаторов, производителей оборудования и поставщиков продуктов питания со всего мира. Конгресс проходит каждые два года, начиная с 1930, в разных странах мира. В 2020 году событие впервые пройдёт в России в Санкт-Петербурге с 29 июля по 1 августа. Организатор: World Association of Chefs Societies (WACS) – организация, объединяющая 10 000 000 шеф-поваров из 110 стран мира.","Since 1928, Worldchefs Congress & Expo has united a global community of chefs and cross-industry innovators to explore the past, present, and future of the culinary trade. Connect with thought-leaders and key influencers from progressive, relevant industries for an immersive program designed to promote collaboration, build relationships, and set light to a shared vision for the future of hospitality.",2020-07-20,2020-08-01
18472,Санкт-Петербургский Международный культурный форум-2020,St.Petersburg International Cultural Forum 2020,Форум,Россия,Санкт-Петербург,8 812 314-22-72,None,Www.culturalforum.ru,Office@culturalforum.ru,"Участникам Форума, среди которых выдающиеся деятели культуры и искусства со всего мира, представители государственной власти разных стран и руководители международных организаций, будет удобнее планировать свои визиты в Санкт-Петербург. Проведение Форума в Санкт-Петербурге в ноябре, по завершении туристического сезона, имеет большое значение для экономики города. Каждый год на Форум съезжаются тысячи участников из других регионов России и из-за рубежа.","The Forum has been deservedly recognized as a global cultural event that attracts thousands of experts in the sphere of culture all across the world every year stars of theatre, opera and ballet, renowned directors and musicians, public figures, government officials and business people, members of the academe. Forum Organizers:The Government of the Russian Federation, the Ministry of Culture of the Russian Federation and the Government of Saint Petersburg.Main venues of the Forum are General Staff Building of the State Hermitage, Russian Museum of Ethnography, Manezh Exhibition Hall.However, Forum traditionally involves multiple cultural venues in the city which are popular amongst both citizens and guests of St.Petersburg.",2020-11-12,2020-11-14
18474,Чемпионат Европы по профессиональному мастерству EuroSkills - 2022,Euroskills 2022,Турнир,Россия,"Санкт-Петербург, Малая Конюшенная улица д.1-3, литера В",8 812 246 08 56,None,Www.worldskills.ru,Snevy@mail.ru,"EuroSkills – это самые масштабные в Европе соревнования по профессиональному мастерству для молодых людей до 25 лет, которые проводятся раз в два года в одной из 28-ми стран-участниц WorldSkills Europe. Движению WorldSkills в мире уже более 70 лет, однако устраивать чемпионаты исключительно среди европейских команд стали только с 2008 года. Первый чемпионат Европы прошел в Роттердаме.","EuroSkills is Europe's largest professional skill competition for young people under 25 years of age, held once in a two years in one of the 28 participating countries of WorldSkills Europe. The WorldSkills movement in the world has been over 70 years old, however, it has been possible to organize championships exclusively among European teams since 2008. The first European Championship was held in Rotterdam.",2023-08-16,2023-08-20
18475,Чемпионат мира по хоккею с шайбой-2023,Ice-hockey World Championship 2023,Спортивное мероприятие,Россия,"Санкт-Петербург, новый Ледовый дворец спорта (СКК""Петербургский"")",None,None,Www.kfis.spb.ru/press/news/45822/,None,Главный ежегодный хоккейный турнир.,Annual ice-hockey competition,2023-05-05,2023-05-21
